StateCounty,TotalPop,Men,Women,Citizen,MeanCommute,Employed,Hispanic_,White_,Black_,Native_,Asian_,Pacific_,Poverty_,ChildPoverty_,Professional_,Service_,Office_,Construction_,Production_,Drive_,Carpool_,Transit_,Walk_,OtherTransp_,WorkAtHome_,PrivateWork_,PublicWork_,SelfEmployed_,FamilyWork_,Unemployment_,income_weighted,per_dem,per_gop,clinton_win
Virginia_Smyth,31734,0.4888133,0.5111867,0.792809,21.38536,0.4184156,0.01849751,0.944665,0.02067183,0.000535703,0.003182706,0,0.1866768,0.2964013,0.2874204,0.1863301,0.2082624,0.08876914,0.2292179,0.8707065,0.0762589,0.009043928,0.009768702,0.01106069,0.02328733,0.7557824,0.1753325,0.06636415,0.00226886,0.06390622,21927.72,0.2074854,0.76,FALSE
Virginia_Southampton,18410,0.5247691,0.4752309,0.7978816,29.43099,0.4317219,0.01319935,0.599837,0.3574688,0.001412276,0.001032048,0,0.1550244,0.2353612,0.2806084,0.2311244,0.2219446,0.131233,0.134818,0.8859316,0.06311787,0.002498642,0.006137968,0.01770777,0.02455187,0.657686,0.289245,0.05236285,0.000706138,0.06670288,23259.01,0.4052074,0.5675158,FALSE
Virginia_Spotsylvania,127691,0.491358,0.508642,0.7090241,38.27138,0.4892201,0.08302073,0.7058602,0.156307,0.002654846,0.02499785,0.001534955,0.08207313,0.1083005,0.3887275,0.1815868,0.2363596,0.09808835,0.09526122,0.7934545,0.1204235,0.0275039,0.00618681,0.01065071,0.04181187,0.7250159,0.2292331,0.04495227,0.000743984,0.06152352,32105,0.3898652,0.5576245,FALSE
Virginia_Stafford,137145,0.5035182,0.4964818,0.6954173,40.3152,0.4711728,0.1065952,0.6557731,0.1666995,0.003237449,0.02902038,0.000889569,0.05637099,0.08089249,0.4573481,0.1708994,0.2274527,0.0878705,0.05634183,0.7361333,0.154107,0.03835357,0.01143315,0.01134566,0.04859091,0.6458055,0.3202669,0.03336615,0.000823946,0.05408145,37198.37,0.4266106,0.5178271,FALSE
Virginia_Staunton city,24193,0.4489315,0.5510685,0.7979994,19.00684,0.4669533,0.02624726,0.8163932,0.1196627,0.001653371,0.01041624,0,0.176084,0.2923573,0.3613855,0.2079114,0.2415575,0.07328566,0.1160253,0.8241227,0.07113628,0.005373455,0.04885711,0.01872442,0.03178605,0.7163642,0.2244451,0.05790931,0.001736039,0.05551192,25182.1,0.4781945,0.4602477,TRUE
Virginia_Suffolk city,86184,0.4816555,0.5183445,0.7354961,27.53664,0.4593544,0.03599276,0.50152,0.4135338,0.001229927,0.01370324,0.000197252,0.1154043,0.1614337,0.3735612,0.1771907,0.2189037,0.09482038,0.1355124,0.853836,0.08451685,0.004385965,0.0154437,0.01311148,0.0286132,0.7213404,0.2369349,0.04071521,0.001067484,0.08022371,29620.42,0.5488325,0.4103604,TRUE
Virginia_Surry,6823,0.4908398,0.5091602,0.8038986,36.15684,0.470321,0.0162685,0.5201524,0.4446724,0.001465631,0.007767844,0,0.128829,0.1789535,0.2331819,0.1525722,0.2315697,0.1546241,0.2274659,0.8200205,0.1162245,0.00381064,0.00615565,0.0134838,0.04045141,0.7716547,0.1830573,0.04543456,0,0.1091895,24659.54,0.5203722,0.4489437,TRUE
Virginia_Sussex,11864,0.6852664,0.3147336,0.8352158,31.15417,0.2150202,0.03270398,0.3851989,0.5579906,0.002612947,0.001601483,0.00059002,0.177849,0.2385367,0.2643291,0.1980782,0.2525287,0.1392448,0.1453978,0.8577208,0.09288604,0.006237357,0.009440324,0.01264329,0.02081929,0.7534558,0.2022927,0.04087997,0.003455833,0.06262643,15142.42,0.570691,0.408062,TRUE
Virginia_Tazewell,43870,0.4961477,0.5038523,0.7981992,23.71542,0.3818555,0.00838842,0.9403921,0.02933668,0.000980169,0.003920675,0,0.1757921,0.2248461,0.2864144,0.1742193,0.2394575,0.1512195,0.1486209,0.8448826,0.1029861,0.000843401,0.01518122,0.005994985,0.03027126,0.7607705,0.1779576,0.05785275,0.003373604,0.0800775,22721.3,0.1565288,0.819681,FALSE
Virginia_Virginia Beach city,448290,0.4913672,0.5086328,0.7393495,23.40959,0.4795289,0.07503402,0.6314127,0.1869259,0.002246314,0.06328716,0.001050659,0.08284369,0.1188449,0.3952665,0.1743023,0.2586027,0.09117536,0.08067322,0.8295858,0.08091414,0.008443195,0.02139017,0.01784782,0.04184791,0.7357559,0.2191684,0.04366816,0.001412032,0.06042294,32269.16,0.4465079,0.4909877,FALSE
